id_municipio,poblacion
Alegría-Dulantzi,2955
Amurrio,10364
Aramaio,1354
Artziniega,1868
Armiñón,236
Arratzua-Ubarrundia,1056
Asparrena,1609
Ayala/Aiara,2921
Baños de Ebro/Mañueta,286
Barrundia,882
Berantevilla,461
Bernedo,541
Campezo/Kanpezu,1073
Zigoitia,1845
Kripan,174
Kuartango,402
Elburgo/Burgelu,642
Elciego,971
Elvillar/Bilar,315
Iruraiz-Gauna,559
Labastida/Bastida,1558
Lagrán,177
Laguardia,1459
Lanciego/Lantziego,700
Lapuebla de Labarca,895
Leza,205
Laudio/Llodio,18077
Arraia-Maeztu,812
Moreda de Álava/Moreda Araba,218
Navaridas,192
Okondo,1184
Oyón-Oion,3476
Peñacerrada-Urizaharra,332
Erriberagoitia/Ribera Alta,839
Ribera Baja/Erriberabeitia,1477
Añana,141
Agurain/Salvatierra,5189
Samaniego,292
San Millán/Donemiliaga,701
Urkabustaiz,1470
Valdegovía/Gaubea,1064
Harana/Valle de Arana,212
Villabuena de Álava/Eskuernaga,276
Legutio,2094
Vitoria-Gasteiz,260699
Yécora/Iekora,278
Zalduondo,195
Zambrana,452
Zuia,2350
Iruña Oka/Iruña de Oca,3704
Lantarón,929
Abengibre,753
Alatoz,504
Albacete,175400
Albatana,644
Alborea,672
Alcadozo,635
Alcalá del Júcar,1130
Alcaraz,1283
Almansa,24615
Alpera,2278
Ayna,577
Balazote,2356
Balsa de Ves,121
"Ballestero, El",411
Barrax,1838
Bienservida,548
Bogarra,727
Bonete,950
"Bonillo, El",2645
Carcelén,483
Casas de Juan Núñez,1409
Casas de Lázaro,298
Casas de Ves,519
Casas-Ibáñez,4616
Caudete,10439
Cenizate,1163
Corral-Rubio,303
Cotillas,123
Chinchilla de Monte-Aragón,4614
Elche de la Sierra,3603
Férez,604
Fuensanta,282
Fuente-Álamo,2422
Fuentealbilla,1804
"Gineta, La",2656
Golosalvo,79
Hellín,30836
"Herrera, La",308
Higueruela,1133
Hoya-Gonzalo,582
Jorquera,356
Letur,911
Lezuza,1281
Liétor,1052
Madrigueras,4670
Mahora,1465
Masegoso,117
Minaya,1381
Molinicos,754
Montalvos,74
Montealegre del Castillo,2051
Motilleja,673
Munera,3351
Navas de Jorquera,521
Nerpio,1136
Ontur,1895
Ossa de Montiel,2233
Paterna del Madera,328
Peñascosa,329
Peñas de San Pedro,1488
Pétrola,660
Povedilla,374
Pozohondo,1544
Pozo-Lorente,398
Pozuelo,455
"Recueja, La",215
Riópar,1344
Robledo,382
"Roda, La",15643
Salobre,442
San Pedro,1155
Socovos,1643
Tarazona de la Mancha,6100
Tobarra,8006
Valdeganga,1970
Vianos,317
Villa de Ves,51
Villalgordo del Júcar,1159
Villamalea,4083
Villapalacios,539
Villarrobledo,25400
Villatoya,114
Villavaliente,190
Villaverde de Guadalimar,325
Viveros,293
Yeste,2471
Pozo Cañada,2704
"Atzúbia, l'",589
Agost,5225
