day,S,I,R,D,Moves
0,48551225,552698,0,5557,5014
1,47847949,1243212,0,18354,4979
2,46297549,2765445,0,46519,4981
3,43035611,5966779,0,107186,4918
4,36787349,12093223,0,229119,4803
5,26886743,21542637,231038,449246,4830
6,15571982,32336448,421712,779522,4830
7,7072450,40014160,831895,1191211,4778
8,2831341,42909459,1729435,1639527,4732
9,1188503,42235384,3588105,2097746,4756
10,603035,38966104,6990137,2550474,4744
11,393626,34010576,11718189,2987423,4680
12,314046,29979494,15418859,3397664,4431
13,279252,29866638,15182249,3781978,4377
14,260572,33221851,11465671,4161979,4421
15,249145,36742855,7557802,4560267,4425
16,242138,38082986,5811021,4973875,4474
17,237549,36887397,6593611,5391435,4502
18,234224,34023461,9050698,5801763,4348
19,231364,31165270,11518629,6194984,4247
20,229041,28996664,13320563,6563935,4291
21,226770,28941351,13023526,6918647,4200
22,224664,30561948,11052789,7270900,4193
23,222766,32277032,8979512,7631017,4167
24,221244,32672034,8217348,7999898,3970
25,219751,31535447,8985859,8369334,4103
26,218322,30314371,9847122,8730760,3919
27,216975,28901826,10908574,9083066,4053
28,215612,28023565,11447755,9423516,4046
29,214135,27998908,11140351,9757137,3963
30,212697,28617282,10191728,10088836,3951
31,210958,29142422,9334670,10422557,3887
32,209318,29006466,9136592,10758281,3837
33,207819,28484728,9325815,11092306,3826
34,206505,27699423,9782070,11422715,3781
35,205247,26946649,10213963,11744873,3762
36,204108,26464310,10380499,12061953,3624
37,202971,26349182,10185385,12373194,3762
38,201870,26448781,9777675,12682528,3640
39,200772,26446160,9471669,12992288,3605
40,199597,26260101,9352318,13298824,3654
41,198433,25889451,9420309,13602839,3462
42,197180,25423475,9586506,13903929,3404
43,196051,24983517,9730780,14200702,3444
44,194995,24657210,9765255,14493638,3396
45,194011,24472478,9662488,14782107,3410
46,192969,24340817,9508904,15068393,3411
47,191826,24183934,9382827,15352393,3514
48,190567,23962746,9323321,15634510,3350
49,189175,23678566,9329728,15913676,3349
50,187824,23366114,9367483,16189722,3351
51,186597,23068691,9394064,16461943,3199
52,185623,22812551,9381710,16731357,3253
53,184819,22595378,9333402,16997717,3178
54,184087,22394009,9271147,17262057,3194
55,183343,22190265,9214915,17522817,3154
56,182583,21966479,9180759,17781572,3101
57,181816,21723993,9166983,18038591,3111
58,181033,21481334,9157185,18291905,3037
59,180226,21240912,9147024,18543340,2992
60,179379,21016280,9124495,18791248,3092
61,178461,20805065,9091286,19036690,2992
62,177545,20596092,9058263,19279519,3075
63,176558,20386757,9028540,19519686,2953
64,175513,20174244,9003950,19757804,2983
65,174377,19967233,8977358,19992697,2829
66,173254,19754290,8958572,20225569,2809
67,172320,19547953,8935863,20455502,2856
68,171504,19343440,8913596,20683080,2874
69,170918,19145668,8886422,20908605,2881
70,170439,18946482,8863375,21131388,2810
71,169950,18746835,8842219,21352783,2707
72,169399,18556513,8814740,21571035,2807
73,168792,18360913,8794150,21787815,2824
74,168119,18171735,8769482,22002411,2747
75,167477,17980714,8748690,22214996,2617
76,166805,17793817,8726978,22424137,2757
77,166153,17608199,8706606,22630898,2638
78,165581,17418755,8690906,22836518,2734
79,165018,17235430,8671461,23040039,2546
80,164406,17058280,8648722,23240487,2599
81,163717,16880042,8628411,23439800,2524
82,162957,16703933,8607824,23637219,2561
83,162237,16532289,8584574,23832855,2539
84,161520,16362877,8561348,24026206,2543
85,160846,16190530,8542920,24217767,2431
86,160248,16017832,8526681,24407278,2455
87,159655,15849240,8509325,24593779,2495
88,159113,15688552,8485690,24778637,2502
89,158628,15526121,8465724,24961659,2362
90,158164,15365809,8445249,25142865,2407
91,157719,15204149,8428136,25322053,2437
92,157220,15044738,8410966,25499178,2392
93,156725,14887835,8392292,25675272,2370
94,156287,14729117,8379116,25847666,2308
95,155906,14573116,8363466,26019764,2242
96,155604,14422239,8344674,26189629,2348
97,155353,14273650,8325309,26357891,2291
98,155140,14127807,8305090,26524297,2160
99,154908,13978952,8289264,26689200,2170
100,154618,13834002,8271385,26852244,2245
101,154325,13690663,8253748,27013571,2187
102,153992,13545770,8239069,27173444,2219
103,153711,13403625,8223652,27331270,2236
104,153417,13261416,8210186,27487270,2205
105,153119,13126515,8190505,27642214,2141
106,152822,12988236,8175541,27795827,2068
107,152528,12853072,8159061,27947696,2137
108,152199,12719944,8143216,28097024,2111
109,151879,12588074,8127063,28245372,2106
110,151496,12457966,8110567,28392377,2088
111,151117,12324713,8099419,28537260,1985
112,150760,12196128,8084050,28681500,2056
113,150436,12068889,8069537,28823614,2018
114,150208,11942435,8055201,28964703,1947
115,150004,11817633,8041152,29103724,1981
116,149767,11695249,8026017,29241408,2053
117,149520,11573389,8011850,29377797,1938
118,149265,11452421,7997860,29513009,1939
119,149056,11331048,7985511,29646990,1889
120,148833,11212523,7971846,29779254,2038
121,148638,11097237,7956696,29910047,1876
122,148414,10981636,7943327,30039251,1866
123,148201,10866856,7929793,30167748,1896
124,147954,10754530,7915032,30295090,1888
125,147712,10641372,7902608,30420941,1861
126,147461,10530143,7890046,30544985,1859
127,147205,10419915,7878205,30667359,1810
128,146907,10308108,7869260,30788398,1821
129,146587,10201740,7855210,30909096,1861
130,146284,10092854,7845853,31027678,1825
131,146040,9989352,7831999,31145342,1761
132,145842,9885888,7819226,31261774,1764
133,145638,9782442,7807463,31377216,1735
134,145369,9683588,7792671,31491112,1754
135,145129,9580963,7782353,31604307,1742
136,144944,9478664,7772678,31716464,1744
137,144778,9377003,7764067,31826944,1702
138,144613,9276290,7755499,31936300,1792
139,144504,9178272,7745636,32044413,1669
